epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.26308,1.26721,3.78395,1.04755,0.00361,0.16667,0.16061,0.13662,1.01903,3.93626,0.81064,0.00018,0.00018,0.00018
2,3.78897,1.12514,3.02336,0.93432,0.00376,0.16667,0.16583,0.13715,1.02958,3.80705,0.80442,0.00035779,0.00035779,0.00035779
3,5.32864,1.11416,2.06163,0.93377,0.99941,0.16667,0.21503,0.18035,1.06873,3.36157,0.81307,0.00052304,0.00052304,0.00052304
4,6.82924,1.08322,1.31426,0.93451,0.99826,0.18369,0.5979,0.44872,1.1091,2.58227,0.82079,0.00067575,0.00067575,0.00067575
5,8.32839,1.04628,1.01624,0.93623,0.98735,0.35745,0.80713,0.56261,1.05388,1.85697,0.81478,0.00081592,0.00081592,0.00081592
6,9.80284,0.97558,0.88406,0.91568,0.82377,0.70948,0.90105,0.63957,0.90953,1.15831,0.83166,0.000835,0.000835,0.000835
7,11.3142,0.91494,0.78863,0.90115,0.90625,0.83769,0.96428,0.67921,0.87136,0.81442,0.8356,0.000802,0.000802,0.000802
8,12.7906,0.8813,0.74624,0.90182,0.93825,0.90269,0.97556,0.70474,0.8405,0.71665,0.80778,0.000769,0.000769,0.000769
9,14.2487,0.88572,0.71286,0.89819,0.96382,0.93041,0.9814,0.68908,0.88997,0.63129,0.79819,0.000736,0.000736,0.000736
10,15.749,0.88794,0.66886,0.89923,0.95633,0.96171,0.98454,0.6967,0.84805,0.54397,0.80184,0.000703,0.000703,0.000703
11,17.2237,0.85394,0.63289,0.88884,0.95766,0.97612,0.98765,0.70561,0.84086,0.56388,0.79262,0.00067,0.00067,0.00067
12,18.7067,0.8581,0.62519,0.88243,0.96611,0.97238,0.9897,0.70837,0.82334,0.5288,0.79945,0.000637,0.000637,0.000637
13,20.1844,0.82944,0.60981,0.89429,0.97866,0.96459,0.99001,0.71868,0.78679,0.50515,0.79319,0.000604,0.000604,0.000604
14,21.6473,0.82197,0.60611,0.88422,0.97833,0.97575,0.9882,0.72784,0.76183,0.47684,0.7834,0.000571,0.000571,0.000571
15,23.1543,0.81111,0.58659,0.88723,0.98132,0.98044,0.99042,0.73323,0.74933,0.46529,0.7837,0.000538,0.000538,0.000538
16,24.6582,0.78351,0.56118,0.87732,0.97604,0.98361,0.99037,0.73625,0.74388,0.45911,0.77941,0.000505,0.000505,0.000505
17,26.1117,0.7569,0.53848,0.86658,0.97731,0.98802,0.99157,0.73718,0.74331,0.4502,0.78296,0.000472,0.000472,0.000472
18,27.5683,0.79047,0.57049,0.87398,0.97945,0.9824,0.98892,0.72033,0.79683,0.45112,0.79108,0.000439,0.000439,0.000439
19,29.0383,0.76797,0.53488,0.86401,0.97773,0.98642,0.99288,0.73817,0.74376,0.45634,0.78461,0.000406,0.000406,0.000406
20,30.5096,0.77737,0.53927,0.87431,0.97708,0.9848,0.99306,0.74456,0.73392,0.4399,0.78175,0.000373,0.000373,0.000373
21,49.0602,0.71925,0.52844,0.82679,0.98276,0.98786,0.99106,0.74734,0.73694,0.45073,0.78232,0.00034,0.00034,0.00034
22,50.5754,0.71667,0.50591,0.8203,0.98193,0.99019,0.99206,0.74707,0.72067,0.42924,0.78111,0.000307,0.000307,0.000307
23,52.1651,0.67947,0.4843,0.82041,0.98108,0.98761,0.9936,0.75005,0.69368,0.41239,0.77877,0.000274,0.000274,0.000274
24,53.6075,0.67471,0.4745,0.81785,0.9824,0.98719,0.99231,0.7555,0.70373,0.4132,0.77973,0.000241,0.000241,0.000241
25,55.0346,0.67172,0.46896,0.81421,0.98453,0.98642,0.99252,0.75534,0.69101,0.40604,0.77983,0.000208,0.000208,0.000208
26,56.4738,0.66233,0.45578,0.82279,0.98308,0.9897,0.99246,0.76197,0.67356,0.40276,0.77919,0.000175,0.000175,0.000175
27,57.9377,0.65105,0.46658,0.80845,0.98392,0.99095,0.99375,0.76215,0.6676,0.39852,0.77915,0.000142,0.000142,0.000142
28,59.3954,0.6436,0.44853,0.8079,0.984,0.98959,0.99361,0.76209,0.66226,0.39667,0.77893,0.000109,0.000109,0.000109
29,60.8465,0.64261,0.45294,0.81646,0.98339,0.99064,0.99372,0.763,0.65353,0.39182,0.77794,7.6e-05,7.6e-05,7.6e-05
30,62.3064,0.62661,0.44332,0.80602,0.98348,0.99021,0.9937,0.76675,0.64636,0.38531,0.77647,4.3e-05,4.3e-05,4.3e-05
