epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.25399,1.20009,3.63436,1.02793,0.00376,0.16667,0.16583,0.15162,1.00807,3.95513,0.81335,0.00024,0.00024,0.00024
2,4.22836,1.11714,2.32326,0.93375,1,0.13139,0.16814,0.14387,1.02289,3.61885,0.81436,0.000488383,0.000488383,0.000488383
3,6.04177,1.04398,1.25702,0.93498,0.99836,0.17514,0.59846,0.45415,1.00378,2.5245,0.81898,0.000735116,0.000735116,0.000735116
4,7.83243,0.97786,0.89892,0.92461,0.93544,0.72601,0.94209,0.65029,0.95197,1.24344,0.84806,0.000980199,0.000980199,0.000980199
5,9.58826,0.92998,0.78718,0.91692,0.94834,0.88899,0.98148,0.69752,0.86099,0.76958,0.82485,0.0009868,0.0009868,0.0009868
6,11.398,0.89884,0.71974,0.90805,0.93979,0.91321,0.98321,0.68697,0.91586,0.68916,0.82947,0.0009835,0.0009835,0.0009835
7,13.1426,0.86766,0.67115,0.89534,0.98619,0.96667,0.9894,0.70733,0.83184,0.57925,0.81548,0.0009802,0.0009802,0.0009802
8,14.9059,0.83545,0.63224,0.88224,0.98184,0.98071,0.98924,0.7226,0.80827,0.52527,0.80934,0.0009769,0.0009769,0.0009769
9,16.6604,0.84698,0.61621,0.89123,0.97856,0.98625,0.99094,0.72314,0.77726,0.50089,0.80591,0.0009736,0.0009736,0.0009736
10,18.4383,0.81068,0.5996,0.8832,0.98466,0.98791,0.99187,0.73013,0.76408,0.48369,0.809,0.0009703,0.0009703,0.0009703
11,20.2026,0.77483,0.56505,0.87499,0.98314,0.98575,0.99162,0.74685,0.71908,0.45663,0.79694,0.000967,0.000967,0.000967
12,21.9785,0.76861,0.55057,0.87012,0.98273,0.98615,0.99295,0.73674,0.76119,0.46977,0.80285,0.0009637,0.0009637,0.0009637
13,23.7242,0.77643,0.54682,0.87822,0.98487,0.98052,0.99138,0.74044,0.73935,0.4576,0.80402,0.0009604,0.0009604,0.0009604
14,25.492,0.76242,0.54168,0.86921,0.97801,0.98969,0.99096,0.74234,0.72537,0.44576,0.80542,0.0009571,0.0009571,0.0009571
15,27.2592,0.76198,0.52302,0.87681,0.98547,0.98676,0.99266,0.74256,0.73916,0.44264,0.81109,0.0009538,0.0009538,0.0009538
16,29.0692,0.81249,0.54899,0.88723,0.98714,0.9931,0.99389,0.71847,0.80758,0.45762,0.81435,0.0009505,0.0009505,0.0009505
17,30.883,0.78472,0.52266,0.87873,0.98715,0.99296,0.9938,0.75093,0.73242,0.43414,0.80766,0.0009472,0.0009472,0.0009472
18,32.7489,0.75658,0.52283,0.87537,0.98611,0.99042,0.99208,0.75906,0.69106,0.42217,0.80747,0.0009439,0.0009439,0.0009439
19,34.607,0.74787,0.50854,0.86946,0.98233,0.99013,0.99409,0.74536,0.72828,0.43313,0.80607,0.0009406,0.0009406,0.0009406
20,36.4231,0.77175,0.51228,0.87443,0.98244,0.98792,0.99339,0.7456,0.72432,0.42836,0.79909,0.0009373,0.0009373,0.0009373
21,38.2401,0.71692,0.4821,0.86805,0.98045,0.99292,0.99344,0.75698,0.69013,0.40496,0.7975,0.000934,0.000934,0.000934
22,40.0619,0.72822,0.48614,0.87227,0.98629,0.99,0.99418,0.7574,0.69975,0.41339,0.80443,0.0009307,0.0009307,0.0009307
23,41.891,0.71308,0.4739,0.87615,0.98755,0.99208,0.9938,0.7557,0.6878,0.41282,0.79804,0.0009274,0.0009274,0.0009274
24,43.7224,0.73565,0.47845,0.86835,0.98587,0.99125,0.99255,0.75442,0.70417,0.41359,0.80679,0.0009241,0.0009241,0.0009241
25,45.4835,0.71506,0.46277,0.87186,0.98702,0.98744,0.99383,0.77634,0.67883,0.39703,0.80121,0.0009208,0.0009208,0.0009208
26,47.2311,0.71737,0.46451,0.86593,0.98725,0.99333,0.99254,0.76818,0.68445,0.39815,0.80223,0.0009175,0.0009175,0.0009175
27,48.9636,0.71233,0.45636,0.86182,0.98667,0.99367,0.99325,0.77492,0.65547,0.38314,0.79683,0.0009142,0.0009142,0.0009142
28,50.7289,0.67148,0.44036,0.85779,0.98453,0.98958,0.99369,0.77759,0.65608,0.38341,0.80731,0.0009109,0.0009109,0.0009109
29,52.5411,0.68526,0.43697,0.86383,0.98648,0.99008,0.9921,0.76875,0.66088,0.38089,0.80463,0.0009076,0.0009076,0.0009076
30,54.2845,0.6919,0.44631,0.86458,0.98871,0.98849,0.99357,0.77344,0.68538,0.39064,0.80137,0.0009043,0.0009043,0.0009043
31,56.0269,0.69877,0.44225,0.87412,0.99061,0.99022,0.9922,0.76766,0.69883,0.38655,0.80086,0.000901,0.000901,0.000901
