epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.15116,1.34686,2.43146,1.0905,0.88534,0.8202,0.95208,0.63808,0.98676,0.9411,0.89497,0.000330667,0.000330667,0.000330667
2,15.1435,1.13608,0.82611,1.01999,0.96207,0.96444,0.98566,0.66064,0.93738,0.61464,0.84731,0.000661809,0.000661809,0.000661809
3,21.7402,1.07707,0.71298,0.99766,0.96104,0.97032,0.98538,0.68925,0.8814,0.51957,0.84018,0.000990751,0.000990751,0.000990751
4,28.2617,1.03258,0.6552,0.9841,0.97847,0.98538,0.99085,0.7211,0.80618,0.48286,0.81333,0.0009901,0.0009901,0.0009901
5,34.9991,1.02201,0.62293,0.97784,0.97048,0.97662,0.99022,0.72104,0.78269,0.46076,0.82492,0.0009868,0.0009868,0.0009868
6,41.7805,0.94698,0.57904,0.956,0.98706,0.985,0.99248,0.73641,0.80419,0.45663,0.82638,0.0009835,0.0009835,0.0009835
7,48.2685,0.98618,0.58644,0.96643,0.97031,0.97458,0.99246,0.73695,0.7784,0.44187,0.81976,0.0009802,0.0009802,0.0009802
8,54.8215,0.9311,0.5495,0.95412,0.97342,0.96875,0.98895,0.64198,0.98848,0.51942,0.85086,0.0009769,0.0009769,0.0009769
9,61.5126,0.93721,0.54616,0.95453,0.98602,0.99215,0.99448,0.74406,0.75786,0.42277,0.81429,0.0009736,0.0009736,0.0009736
10,68.1648,0.91633,0.52895,0.95012,0.94224,0.93142,0.99062,0.74154,0.78074,0.44608,0.81911,0.0009703,0.0009703,0.0009703
11,74.7005,0.89849,0.51211,0.94203,0.97956,0.98529,0.99354,0.76391,0.7306,0.41034,0.81986,0.000967,0.000967,0.000967
12,81.3654,0.89515,0.50896,0.9409,0.98195,0.98949,0.99301,0.72665,0.7797,0.41066,0.81555,0.0009637,0.0009637,0.0009637
13,87.9313,0.88247,0.4945,0.935,0.97874,0.98387,0.99373,0.73521,0.74439,0.40646,0.80667,0.0009604,0.0009604,0.0009604
14,94.4499,0.86479,0.48285,0.93741,0.98637,0.98745,0.99391,0.74954,0.7332,0.39581,0.81207,0.0009571,0.0009571,0.0009571
15,101.021,0.86687,0.48186,0.93489,0.97976,0.9818,0.99458,0.72554,0.79839,0.40724,0.82489,0.0009538,0.0009538,0.0009538
16,107.507,0.85141,0.46673,0.93021,0.98947,0.98792,0.99399,0.75326,0.73909,0.38102,0.8153,0.0009505,0.0009505,0.0009505
17,114.046,0.85383,0.46896,0.9345,0.98917,0.99142,0.99376,0.75053,0.73368,0.37872,0.81227,0.0009472,0.0009472,0.0009472
18,120.488,0.846,0.45711,0.92754,0.98404,0.98975,0.99428,0.76163,0.68655,0.35903,0.80136,0.0009439,0.0009439,0.0009439
19,127.008,0.83791,0.45562,0.92623,0.97858,0.98382,0.99426,0.72544,0.81096,0.3949,0.84114,0.0009406,0.0009406,0.0009406
20,133.551,0.82908,0.44668,0.92334,0.98103,0.98679,0.99451,0.78106,0.67392,0.36298,0.80789,0.0009373,0.0009373,0.0009373
21,140.303,0.81808,0.4408,0.91992,0.98016,0.99251,0.99449,0.74229,0.78449,0.38097,0.81486,0.000934,0.000934,0.000934
22,147.006,0.82153,0.43752,0.92244,0.98202,0.98646,0.99377,0.76728,0.69381,0.36132,0.81606,0.0009307,0.0009307,0.0009307
23,153.737,0.81309,0.43228,0.92141,0.99181,0.98824,0.9943,0.75385,0.71652,0.35959,0.8126,0.0009274,0.0009274,0.0009274
24,160.422,0.80808,0.42801,0.91601,0.98849,0.99211,0.994,0.76391,0.72563,0.35641,0.81829,0.0009241,0.0009241,0.0009241
25,167.182,0.80749,0.42821,0.91683,0.9805,0.99025,0.9941,0.75512,0.72799,0.35056,0.80918,0.0009208,0.0009208,0.0009208
26,173.766,0.79706,0.42105,0.91664,0.98943,0.98958,0.9942,0.76876,0.67286,0.33877,0.81298,0.0009175,0.0009175,0.0009175
27,180.431,0.79846,0.41821,0.91453,0.98413,0.98685,0.9942,0.7597,0.72524,0.35076,0.8109,0.0009142,0.0009142,0.0009142
28,186.953,0.8019,0.42152,0.91485,0.98525,0.98524,0.99406,0.74727,0.76841,0.36618,0.82809,0.0009109,0.0009109,0.0009109
29,193.549,0.79245,0.4162,0.91308,0.97857,0.98587,0.99401,0.78026,0.68906,0.35058,0.80601,0.0009076,0.0009076,0.0009076
30,200.137,0.78113,0.41398,0.90866,0.97633,0.98269,0.99433,0.77106,0.7187,0.35267,0.82861,0.0009043,0.0009043,0.0009043
31,206.682,0.78006,0.41016,0.90924,0.98607,0.97805,0.99325,0.78468,0.64914,0.34353,0.79935,0.000901,0.000901,0.000901
32,213.29,0.79538,0.408,0.91262,0.98209,0.99268,0.99403,0.79047,0.62684,0.32489,0.79879,0.0008977,0.0008977,0.0008977
33,219.892,0.77166,0.40659,0.90555,0.98855,0.9897,0.99452,0.7587,0.71003,0.33853,0.81114,0.0008944,0.0008944,0.0008944
34,226.465,0.77832,0.40821,0.91018,0.98616,0.99167,0.99378,0.78593,0.6465,0.32834,0.80054,0.0008911,0.0008911,0.0008911
35,233.05,0.77759,0.40594,0.90828,0.98686,0.98673,0.99422,0.75706,0.73367,0.35346,0.83015,0.0008878,0.0008878,0.0008878
36,239.726,0.77848,0.403,0.90587,0.98627,0.98321,0.99469,0.7744,0.70973,0.3567,0.81336,0.0008845,0.0008845,0.0008845
37,246.46,0.76905,0.40074,0.90802,0.9883,0.99334,0.99403,0.79356,0.64271,0.32198,0.80534,0.0008812,0.0008812,0.0008812
38,253.167,0.75543,0.39471,0.90562,0.97913,0.97581,0.99435,0.77054,0.70089,0.34506,0.81328,0.0008779,0.0008779,0.0008779
39,259.897,0.76124,0.39808,0.90486,0.98381,0.98836,0.99413,0.76317,0.7216,0.34696,0.81361,0.0008746,0.0008746,0.0008746
40,266.599,0.75222,0.39036,0.90243,0.98287,0.9901,0.99397,0.76291,0.70667,0.33876,0.80748,0.0008713,0.0008713,0.0008713
41,273.305,0.75408,0.39232,0.90012,0.98723,0.99118,0.99411,0.77312,0.69091,0.33815,0.81087,0.000868,0.000868,0.000868
42,280.042,0.75692,0.39505,0.90445,0.98209,0.97534,0.99444,0.76073,0.69474,0.33979,0.80478,0.0008647,0.0008647,0.0008647
